Matricula,CPF,Nome,Nota,Idade,Curso,Cidade
1,915.216.859-08,Wallace Sampaio,20.35,23,Direito,Rio de Janeiro
A0000000,436.309.490-70,Gabriela Silva,98.08,26,Psicologia,Porto Alegre
A0000002,436.309.490-70,Caio Almeida,99.53,29,Biologia,Brasília
A0000003,436.309.490-70,Eduarda Conceição,66.31,30,Direito,São Paulo
A0000004,436.309.490-70,Adriel Medeiros,47.91,27,Arquitetura,Porto Alegre
A0000005,533.886.451-75,Elaine Torres,34.16,29,Medicina,Recife
A0000006,909.195.768-93,Marcelo Garcia,93.64,29,Biologia,São Paulo
A0000007,763.419.396-80,Francisco Dutra,23.33,30,Computação,Manaus
A0000008,282.617.107-00,Roberta Gaspar,89.6,19,Psicologia,São Paulo
A0000009,186.958.808-85,Antonio Gaspar,31.5,22,Administração,Porto Alegre
A0000010,982.151.525-89,Raquel Dias,91.4,29,Psicologia,Curitiba
A0000011,013.970.386-16,Emerson Saraiva,71.73,27,Direito,Salvador
A0000012,985.036.913-29,Vitória Batista,58.76,18,Biologia,Brasília
A0000013,757.452.623-03,Yasmin Dutra,21.34,21,Computação,Rio de Janeiro
A0000014,999.703.592-58,Arthur Henriques,13.56,28,Biologia,São Paulo
A0000015,445.054.631-84,Cássio Souza,97.29,24,Arquitetura,Manaus
A0000016,142.352.241-90,Ingrid Araújo,88.45,19,Engenharia,Rio de Janeiro
A0000017,817.587.494-58,Gabriel Sampaio,45.57,24,Medicina,Rio de Janeiro
A0000018,526.342.749-20,Frederico Torres,77.39,23,Administração,Porto Alegre
A0000019,436.309.490-70,Aline Dias,81.76,26,Arquitetura,Brasília
